,Bundesland,Landkreis,EWZ,lat,lon
60,Bayern,Bayreuth (Landkreis),103805.0,49.883640315224994,11.554831609009314
61,Bayern,Berchtesgadener Land (Landkreis),105052.0,47.698259019404354,12.901964821072088
62,Bayern,Cham (Landkreis),127339.0,49.23710352390243,12.694259660236392
63,Bayern,Coburg (Kreisfreie Stadt),41236.0,50.26393391136842,10.96447007342596
64,Bayern,Coburg (Landkreis),86885.0,50.26785220511003,10.942326865928436
65,Bayern,Dachau (Landkreis),152703.0,48.33452578647553,11.357140812047279
66,Bayern,Deggendorf (Landkreis),118741.0,48.77862952022743,13.000735385132648
67,Bayern,Dillingen a.d. Donau (Landkreis),95159.0,48.596400897739365,10.527783558584966
68,Bayern,Dingolfing-Landau (Landkreis),95831.0,48.641148244963944,12.610500343808775
69,Bayern,Donau-Ries (Landkreis),133043.0,48.80683210822592,10.712710084577374
70,Bayern,Ebersberg (Landkreis),140800.0,48.07611401562601,11.913230774156759
71,Bayern,Eichstätt (Landkreis),131646.0,48.898115833704004,11.370462504861887
72,Bayern,Erding (Landkreis),136884.0,48.300376786294756,12.000651834256525
73,Bayern,Erlangen (Kreisfreie Stadt),110998.0,49.582323234228404,10.97815409279408
74,Bayern,Erlangen-Höchstadt (Landkreis),135334.0,49.64003842381658,10.915184034928098
75,Bayern,Forchheim (Landkreis),115681.0,49.72095956072348,11.173129467332986
76,Bayern,Freising (Landkreis),177997.0,48.44728039694685,11.740479293422025
77,Bayern,Freyung-Grafenau (Landkreis),78345.0,48.82686704033719,13.513434797370836
78,Bayern,Fürstenfeldbruck (Landkreis),217831.0,48.18778824718019,11.201075267403283
79,Bayern,Fürth (Kreisfreie Stadt),126526.0,49.49140933848712,10.965482170209295
80,Bayern,Fürth (Landkreis),116193.0,49.4466651759187,10.849730889008343
81,Bayern,Garmisch-Partenkirchen (Landkreis),88155.0,47.5562625338618,11.129595959598536
82,Bayern,Günzburg (Landkreis),124519.0,48.352713061633736,10.38122000806507
83,Bayern,Haßberge (Landkreis),84464.0,50.06276435656824,10.606943835217118
84,Bayern,Hof (Kreisfreie Stadt),45950.0,50.31078827469398,11.897260324458005
85,Bayern,Hof (Landkreis),95773.0,50.273178420139686,11.81924732806067
86,Bayern,Ingolstadt (Kreisfreie Stadt),135244.0,48.75508979370572,11.395005159576574
87,Bayern,Kaufbeuren (Kreisfreie Stadt),43478.0,47.8799221379895,10.616082960989466
88,Bayern,Kelheim (Landkreis),121119.0,48.82475499129695,11.857555914678679
89,Bayern,Kempten (Allgäu) (Kreisfreie Stadt),68330.0,47.738202755277776,10.3081039302401
90,Bayern,Kitzingen (Landkreis),90429.0,49.75318020309668,10.256017031721194
91,Bayern,Kronach (Landkreis),67474.0,50.3278266727728,11.371993535076044
92,Bayern,Kulmbach (Landkreis),72012.0,50.10256132538759,11.48214288494097
93,Bayern,Landsberg am Lech (Landkreis),119141.0,48.024315106701565,10.948711023367954
94,Bayern,Landshut (Kreisfreie Stadt),71193.0,48.54471667934906,12.159434349101927
95,Bayern,Landshut (Landkreis),157239.0,48.55758853097932,12.195686331909425
